2 8 10111010000000000001111111001110101110001111000011111111101111000011010100010100101010110000111111111111000011011110011100111011
2 10 1011101000000000000111111100111010111000111100001111111110110011*1100001101010001010010101011000011111111111100001101111001111011
2 10 00001101010001010010101011000011111111111100001101111001111011101110100000000000011111110011101011100011110000111111111011001111
2 16 00001101010001010010101011000011111111111100001101111001111011101110100000000000011111110011101011100011110000111111111011001111
2 000011010100010100101010 + 00001101100010010101
16 345EF - 198AB
10 2342374 >> 2
10 -98247 << 5
2 10111000 | 01001100
2 11000111 & 00000101
2 2 ~ 0
10 89 / 98
2 8 ^ 102
10 -38 * 9824
10 102 + -132
8 8888 / 0101
